Auction Title,Auction ID,Department,Close Date,Winning Bid,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number,Cap,Expenses,Net Sales,Fund,Business Unit
Item 1,76149,PUBLIC DEFENDER,41584,355.65,3.39,0.25,88.91,92.3,Successful,,72187,,3278746276,3618590519,3000,0,263.35,General Fund,0
Item 2,73823,SCHOOL BOARD WAREHOUSE,41512,123.15,14.83,0.21,25.86,40.69,Pending,69886,"78642, 78871, 71405",Dec-40,3065394210,Money Order,3000,0,82.46,Restricted Fund,0
Item 3,74908,SCHOOL BOARD WAREHOUSE,41654,460.08,8.71,0.1,46.01,54.72,Failed,78834,"73295, 74827, 77550",,,3675903495,3000,0,405.36,General Fund,0
Item 4,78128,OFM,41605,840.8,9.25,0.17,142.94,152.19,Successful,54101,"71013, 78242, 75647",,3211906258,3663309668,3000,0,688.61,General Fund,0
Item 5,71706,OFM,41564,950.85,6.92,0.27,256.73,263.65,Pending,,"71292, 73532, 70289",,,Money Order,3000,0,687.2,Enterprise,0
Item 6,79506,OFM,41574,533.12,8.23,0.23,122.62,130.85,Pending,,"73734, 73269",Dec-09,,3603582930,3000,0,402.27,General Fund,0
Item 7,78552,SCHOOL BOARD WAREHOUSE,41589,848.15,5.68,0.2,169.63,175.31,Successful,66956,71909,Dec-72,,3604130912,3000,0,672.84,General Fund,0
Item 8,75812,ITS,41573,114.61,12.1,0.17,19.48,31.58,Pending,,77932,Dec-29,,Money Order,3000,0,83.03,Restricted Fund,0
Item 9,78200,OFM,41635,122.16,4.85,0.21,25.65,30.5,Successful,,76842,DEC-1660,3511763886,3618957883,3000,0,91.66,Enterprise,0
Item 10,79106,PARKS,41563,558.38,9.13,0.22,122.84,131.97,Successful,29636,"76252, 74454, 79877",Dec-82,3346984876,3615815324,3000,0,426.41,Restricted Fund,0
Item 11,76052,GENERAL SERVICES,41632,132.72,12.28,0.19,25.22,37.5,Failed,36481,"76565, 76701, 78754",,,3658120906,3000,0,95.22,Enterprise,0
Item 12,72483,GENERAL SERVICES,41698,819.82,12.35,0.25,204.96,217.31,Failed,28962,"78869, 79125",Dec-83,3503801753,Money Order,3000,0,602.51,Enterprise,0
Item 13,77685,PUBLIC DEFENDER,41588,717.78,2.29,0.29,208.16,210.45,Pending,94309,"76954, 73864",,,3648944464,3000,0,507.33,Restricted Fund,0
Item 14,72730,ITS,41629,111.68,14.21,0.11,12.28,26.49,Failed,,76141,Dec-09,,3647955559,3000,0,85.19,General Fund,0
Item 15,76002,GENERAL SERVICES,41609,770.64,9.38,0.2,154.13,163.51,Pending,,71698,,,3605876707,3000,0,607.13,General Fund,0
Item 16,75783,OFM,41693,521.16,6.58,0.12,62.54,69.12,Pending,,"76191, 79544, 71802",,,3692669453,3000,0,452.04,Restricted Fund,0
Item 17,77752,PARKS,41639,926.08,8.58,0.16,148.17,156.75,Failed,70033,"79217, 71362, 72071",DEC-1183,3293273868,Money Order,3000,0,769.33,General Fund,0
Item 18,71771,GENERAL SERVICES,41514,407.01,0.91,0.11,44.77,45.68,Pending,74629,75028,Dec-01,,3648694283,3000,0,361.33,General Fund,0
Item 19,70616,GENERAL SERVICES,41516,175.69,0.57,0.21,36.89,37.46,Pending,,71675,,3226045934,3658107370,3000,0,138.23,Enterprise,0
Item 20,78343,GENERAL SERVICES,41595,114.92,13.09,0.24,27.58,40.67,Failed,33912,"74630, 76705",,,3614833121,3000,0,74.25,Restricted Fund,0
Item 21,76098,SCHOOL BOARD WAREHOUSE,41590,155.88,10.53,0.13,20.26,30.79,Pending,,78187,,,3628069408,3000,0,125.09,General Fund,0
